Wall time,Step,Value
1732817892.3092167,1,0.5092037320137024
1732817892.3111782,2,0.0696054995059967
1732817892.3112135,3,0.0413987971842289
1732817892.3112361,4,0.028445536270737648
1732817892.311257,5,0.019524239003658295
1732817892.3116374,6,0.01407672744244337
1732817892.311681,7,0.009996580891311169
1732817892.3117042,8,0.007412564009428024
1732817892.3117247,9,0.005721640307456255
1732817892.3117452,10,0.004400673788040876
1732817892.3117654,11,0.003462588181719184
1732817892.312159,12,0.002883715322241187
1732817892.3122034,13,0.002318301936611533
1732817892.3127346,14,0.0020228351932018995
1732817892.3128448,15,0.0017298340098932385
1732817892.313015,16,0.0015750178135931492
1732817892.3133068,17,0.0013755186228081584
1732817892.3134437,18,0.0012180525809526443
1732817892.3135846,19,0.0010939796920865774
1732817892.3137386,20,0.0010163927217945457
1732817892.3139024,21,0.0009209553245455027
1732817892.3140702,22,0.0008659702725708485
1732817892.3142474,23,0.0008167524938471615
1732817892.314394,24,0.0007399136084131896
1732817892.314548,25,0.0006977799930609763
1732817892.3146937,26,0.000688171770889312
1732817892.3148377,27,0.0006342952256090939
1732817892.3149803,28,0.0006036359118297696
1732817892.3151226,29,0.0005672434926964343
1732817892.315272,30,0.0005525686428882182
1732817892.3154154,31,0.000518713379278779
1732817892.3155801,32,0.000521184760145843
1732817892.315723,33,0.0004791177052538842
1732817892.315867,34,0.0004990402958355844
1732817892.316009,35,0.00047273270320147276
1732817892.3161643,36,0.00043643172830343246
1732817892.316308,37,0.0004431507841218263
1732817892.3164504,38,0.0004146076971665025
1732817892.316598,39,0.0003934313135687262
1732817892.3167465,40,0.00039070736966095865
1732817892.3168862,41,0.0003798500692937523
1732817892.3170447,42,0.00036097681731916964
1732817892.3171844,43,0.0003696420753840357
1732817892.3173335,44,0.0003583087818697095
1732817892.3174744,45,0.0003526691871229559
1732817892.3176155,46,0.00033894399530254304
1732817892.3177648,47,0.0003337431699037552
1732817892.3179092,48,0.0003263127582613379
1732817892.318062,49,0.00031438496080227196
1732817892.3182151,50,0.00032639820710755885
1732817892.3183925,51,0.00030088587664067745
1732817892.3185203,52,0.00030087537015788257
1732817892.3186634,53,0.0002991063520312309
1732817892.3188107,54,0.0002805260301101953
1732817892.318905,55,0.00028251486946828663
1732817892.318992,56,0.0002827468852046877
1732817892.3190775,57,0.00026835076278075576
1732817892.3191664,58,0.0002671449037734419
1732817892.319259,59,0.00028742814902216196
1732817892.3194063,60,0.0002736432070378214
1732817892.3194962,61,0.0002616916608531028
1732817892.3195865,62,0.00025592968449927866
1732817892.3196275,63,0.0002612686948850751
1732817892.3197198,64,0.0002586553746368736
1732817892.3198109,65,0.00024557640426792204
1732817892.3199017,66,0.0002410419547231868
1732817892.3199928,67,0.00023919592786114663
1732817892.3200815,68,0.0002434781490592286
1732817892.3201876,69,0.00024004072474781424
1732817892.3202786,70,0.00022947140678297728
1732817892.3203819,71,0.00023294526909012347
1732817892.3204849,72,0.00023006672563496977
1732817892.3205948,73,0.0002300479682162404
1732817892.3206968,74,0.00021602345805149525
1732817892.3208075,75,0.00022503361105918884
1732817892.3209097,76,0.0002221752074547112
1732817892.3209996,77,0.0002141058212146163
1732817892.3211045,78,0.0002239205496152863
1732817892.3211925,79,0.00020637467969208956
1732817892.3212838,80,0.0002102959406329319
1732817892.3213744,81,0.00023116993543226272
1732817892.3215384,82,0.00022161321248859167
1732817892.3216267,83,0.00020958455570507795
1732817892.321667,84,0.0001977555948542431
1732817892.3217554,85,0.000201127739273943
1732817892.3217952,86,0.00020095800573471934
1732817892.3218968,87,0.00020631785446312279
1732817892.3220077,88,0.00020470695744734257
1732817892.322112,89,0.00020357132598292083
1732817892.3222198,90,0.0001951923331944272
1732817892.3223073,91,0.00019690774206537753
1732817892.322409,92,0.00019068077381234616
1732817892.3225098,93,0.00019546390103641897
1732817892.3226151,94,0.00019760592840611935
1732817892.3227048,95,0.0001937892520800233
1732817892.322826,96,0.0001920918730320409
1732817892.322913,97,0.00019235769286751747
1732817892.3230286,98,0.00018588437524158508
1732817892.3231297,99,0.00018352568440604955
1732817892.323229,100,0.000186549688805826
